,Date,year,month,day,Site,Compound,Source,Location,Result,Units,MCL,Timing
1,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Calcium,Ground Water,Lower Valley ,36,mg/L,,Pre
2,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Sodium,Ground Water,Lower Valley ,19,mg/L,,Pre
3,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Magnesium,Ground Water,Lower Valley ,14,mg/L,,Pre
4,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Potassium,Ground Water,Lower Valley ,4.4,mg/L,,Pre
5,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Chloride,Ground Water,Lower Valley ,18.5,mg/L,,Pre
6,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Bicarbonate,Ground Water,Lower Valley ,114,mg/L,,Pre
7,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Nitrate as N,Ground Water,Lower Valley ,0.52,mg/L,10,Pre
8,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Nitrite as N,Ground Water,Lower Valley ,0,mg/L,1,Pre
9,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Total Phosphorus,Ground Water,Lower Valley ,0,mg/L,,Pre
10,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Total Coliform,Ground Water,Lower Valley ,0,MPN/100mL,,Pre
11,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Fecal Coliform,Ground Water,Lower Valley ,0,MPN/100mL,,Pre
12,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,E. coli,Ground Water,Lower Valley ,0,MPN/100mL,,Pre
13,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,EDB,Ground Water,Lower Valley ,0,ug/L,,Pre
14,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,DBCP,Ground Water,Lower Valley ,0,ug/L,,Pre
15,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Alachlor,Ground Water,Lower Valley ,0,ug/L,2,Pre
16,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Atrazine,Ground Water,Lower Valley ,0,ug/L,3,Pre
17,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Simazine,Ground Water,Lower Valley ,0,ug/L,4,Pre
18,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Chlordane,Ground Water,Lower Valley ,0,ug/L,2,Pre
19,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Endrin,Ground Water,Lower Valley ,0,ug/L,2,Pre
20,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Heptachlor,Ground Water,Lower Valley ,0,ug/L,0.4,Pre
21,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Heptachlor epoxide,Ground Water,Lower Valley ,0,ug/L,0.2,Pre
22,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Hexachlorobenzene,Ground Water,Lower Valley ,0,ug/L,1,Pre
23,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Hexachlorocyclopentadiene,Ground Water,Lower Valley ,0,ug/L,50,Pre
24,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Lindane,Ground Water,Lower Valley ,0,ug/L,2,Pre
25,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Methoxychlor,Ground Water,Lower Valley ,0,ug/L,40,Pre
26,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Toxaphene,Ground Water,Lower Valley ,0,ug/L,3,Pre
27,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,PCBs,Ground Water,Lower Valley ,0,ug/L,,Pre
28,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dalapon,Ground Water,Lower Valley ,0,ug/L,200,Pre
29,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dinoseb,Ground Water,Lower Valley ,0,ug/L,7,Pre
30,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Pentachlorophenol,Ground Water,Lower Valley ,0,ug/L,1,Pre
31,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Picloram,Ground Water,Lower Valley ,0,ug/L,500,Pre
32,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,"2,4-D",Ground Water,Lower Valley ,0,ug/L,70,Pre
33,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,"2,4,5-TP (Silvex)",Ground Water,Lower Valley ,0,ug/L,50,Pre
34,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Benzo[a]pyrene,Ground Water,Lower Valley ,0,ug/L,,Pre
35,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Di(2-ethylhexyl)adipate,Ground Water,Lower Valley ,0,ug/L,40,Pre
36,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Di(2-ethylhexyl)phthalate,Ground Water,Lower Valley ,0,ug/L,6,Pre
37,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Carbofuran,Ground Water,Lower Valley ,0,ug/L,40,Pre
38,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Oxamyl,Ground Water,Lower Valley ,0,ug/L,,Pre
39,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Glyphosate,Ground Water,Lower Valley ,0,ug/L,700,Pre
40,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Endothall,Ground Water,Lower Valley ,0,ug/L,100,Pre
41,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Diquat,Ground Water,Lower Valley ,0,ug/L,20,Pre
42,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Butachlor,Ground Water,Lower Valley ,0,ug/L,,Pre
43,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Metolachlor,Ground Water,Lower Valley ,0,ug/L,,Pre
44,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Metribuzin,Ground Water,Lower Valley ,0,ug/L,,Pre
45,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Aldrin,Ground Water,Lower Valley ,0,ug/L,,Pre
46,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dieldrin,Ground Water,Lower Valley ,0,ug/L,,Pre
47,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Propachlor,Ground Water,Lower Valley ,0,ug/L,,Pre
48,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dicamba,Ground Water,Lower Valley ,0,ug/L,,Pre
49,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Aldicarb,Ground Water,Lower Valley ,0,ug/L,,Pre
50,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Aldicarb Sulfone,Ground Water,Lower Valley ,0,ug/L,,Pre
51,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Aldicarb Sulfoxide,Ground Water,Lower Valley ,0,ug/L,,Pre
52,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Carbaryl,Ground Water,Lower Valley ,0,ug/L,,Pre
53,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,3-Hydroxycarbofuran,Ground Water,Lower Valley ,0,ug/L,,Pre
54,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Methomyl,Ground Water,Lower Valley ,0,ug/L,,Pre
55,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,"2,4-DB",Ground Water,Lower Valley ,0,ug/L,,Pre
56,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Calcium,Ground Water,Lower Valley ,75,mg/L,,Pre
57,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Sodium,Ground Water,Lower Valley ,19,mg/L,,Pre
58,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Magnesium,Ground Water,Lower Valley ,22,mg/L,,Pre
59,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Potassium,Ground Water,Lower Valley ,4.1,mg/L,,Pre
60,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Chloride,Ground Water,Lower Valley ,20.7,mg/L,,Pre
61,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Bicarbonate,Ground Water,Lower Valley ,118,mg/L,,Pre
62,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Nitrate as N,Ground Water,Lower Valley ,0.71,mg/L,10,Pre
63,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Nitrite as N,Ground Water,Lower Valley ,0,mg/L,1,Pre
64,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Total Phosphorus,Ground Water,Lower Valley ,1.21,mg/L,,Pre
65,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,EDB,Ground Water,Lower Valley ,0,ug/L,,Pre
66,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,DBCP,Ground Water,Lower Valley ,0,ug/L,,Pre
67,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Alachlor,Ground Water,Lower Valley ,0,ug/L,2,Pre
68,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Atrazine,Ground Water,Lower Valley ,0,ug/L,3,Pre
69,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Simazine,Ground Water,Lower Valley ,0,ug/L,4,Pre
70,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Chlordane,Ground Water,Lower Valley ,0,ug/L,2,Pre
71,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Endrin,Ground Water,Lower Valley ,0,ug/L,2,Pre
72,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Heptachlor,Ground Water,Lower Valley ,0,ug/L,0.4,Pre
73,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Heptachlor epoxide,Ground Water,Lower Valley ,0,ug/L,0.2,Pre
74,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Hexachlorobenzene,Ground Water,Lower Valley ,0,ug/L,1,Pre
75,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Hexachlorocyclopentadiene,Ground Water,Lower Valley ,0,ug/L,50,Pre
76,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Lindane,Ground Water,Lower Valley ,0,ug/L,2,Pre
77,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Methoxychlor,Ground Water,Lower Valley ,0,ug/L,40,Pre
78,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Toxaphene,Ground Water,Lower Valley ,0,ug/L,3,Pre
79,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,PCBs,Ground Water,Lower Valley ,0,ug/L,,Pre
80,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dalapon,Ground Water,Lower Valley ,0,ug/L,200,Pre
81,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Dinoseb,Ground Water,Lower Valley ,0,ug/L,7,Pre
82,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Pentachlorophenol,Ground Water,Lower Valley ,0,ug/L,1,Pre
83,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Picloram,Ground Water,Lower Valley ,0,ug/L,500,Pre
84,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,"2,4-D",Ground Water,Lower Valley ,0,ug/L,70,Pre
85,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,"2,4,5-TP (Silvex)",Ground Water,Lower Valley ,0,ug/L,50,Pre
86,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Benzo[a]pyrene,Ground Water,Lower Valley ,0,ug/L,,Pre
87,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Di(2-ethylhexyl)adipate,Ground Water,Lower Valley ,0,ug/L,40,Pre
88,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Di(2-ethylhexyl)phthalate,Ground Water,Lower Valley ,0,ug/L,6,Pre
89,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Carbofuran,Ground Water,Lower Valley ,0,ug/L,40,Pre
90,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Oxamyl,Ground Water,Lower Valley ,0,ug/L,,Pre
91,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Glyphosate,Ground Water,Lower Valley ,0,ug/L,700,Pre
92,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Endothall,Ground Water,Lower Valley ,0,ug/L,100,Pre
93,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Diquat,Ground Water,Lower Valley ,0,ug/L,20,Pre
94,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Butachlor,Ground Water,Lower Valley ,0,ug/L,,Pre
95,10/28/2014,2014,10,28,AFRD2-MP31 Basin ,Metolachlor,Ground Water,Lower Valley ,0,ug/L,,Pre
